player_id,salary,team_code,HEIGHT,experience,AGE,PLAYER_ID,PLAYER_SEASON_STATS_SEASON,PLAYER_SEASON_STATS_TEAM_code,PLAYER_SEASON_STATS_LEAGUE,PLAYER_SEASON_STATS_FTA,PLAYER_SEASON_STATS_POSITION,PLAYER_SEASON_STATS_G,PLAYER_SEASON_STATS_GS,PLAYER_SEASON_STATS_MP,PLAYER_SEASON_STATS_FG,PLAYER_SEASON_STATS_FGA,PLAYER_SEASON_STATS_FGP,PLAYER_SEASON_STATS_3P,PLAYER_SEASON_STATS_3PA,PLAYER_SEASON_STATS_3PP,PLAYER_SEASON_STATS_2P,PLAYER_SEASON_STATS_2PA,PLAYER_SEASON_STATS_2PP,PLAYER_SEASON_STATS_FT,PLAYER_SEASON_STATS_FTP,PLAYER_SEASON_STATS_ORB,PLAYER_SEASON_STATS_DRB,PLAYER_SEASON_STATS_TRB,PLAYER_SEASON_STATS_AST,PLAYER_SEASON_STATS_STL,PLAYER_SEASON_STATS_BLK,PLAYER_SEASON_STATS_TOV,PLAYER_SEASON_STATS_PLAYER_SEASON_STATS_PF,PLAYER_SEASON_STATS_PTS
linje01,473604.0,GSW,187.5,3,25,linje01,2010-11,GSW,NBA,25,PG,29,0,285,28,72,0.389,1,5,0.2,27,67,0.403,19,0.76,12,22,34,42,33,9,18,31,76
adrieje01,342666.0,GSW,197.5,3,28,adrieje01,2010-11,GSW,NBA,19,PF,23,0,196,23,54,0.426,0,0,0.0,23,54,0.426,11,0.579,23,35,58,10,4,5,9,28,57
boshch01,14500000.0,MIA,205,10,29,boshch01,2010-11,MIA,NBA,471,PF,77,77,2795,524,1056,0.496,6,25,0.24,518,1031,0.502,384,0.815,141,500,641,144,59,49,138,172,1438
jamesle01,14500000.0,MIA,200,10,29,jamesle01,2010-11,MIA,NBA,663,SF,79,79,3063,758,1485,0.51,92,279,0.33,666,1206,0.552,503,0.759,80,510,590,554,124,50,284,163,2111
wadedw01,14200000.0,MIA,190,10,32,wadedw01,2010-11,MIA,NBA,652,SG,76,76,2823,692,1384,0.5,63,206,0.306,629,1178,0.534,494,0.758,123,362,485,346,111,87,237,197,1941
millemi01,5000000.0,MIA,200,13,33,millemi01,2010-11,MIA,NBA,34,SG,41,2,838,81,202,0.401,43,118,0.364,38,84,0.452,23,0.676,38,146,184,51,20,2,41,88,228
hasleud01,3500000.0,MIA,200,10,33,hasleud01,2010-11,MIA,NBA,20,PF,13,0,345,44,86,0.512,0,0,0.0,44,86,0.512,16,0.8,29,77,106,6,7,3,14,39,104
anthojo01,3300000.0,MIA,202.5,6,31,anthojo01,2010-11,MIA,NBA,73,C,75,11,1463,53,99,0.535,0,0,0.0,53,99,0.535,47,0.644,104,162,266,24,10,93,36,194,153
howarju01,1352181.0,MIA,202.5,19,41,howarju01,2010-11,MIA,NBA,35,PF,57,0,592,55,125,0.44,0,0,0.0,55,125,0.44,29,0.829,36,86,122,23,10,4,25,61,139
magloja01,1229255.0,MIA,207.5,,,magloja01,2010-11,MIA,NBA,18,C,18,0,158,13,22,0.591,0,0,0.0,13,22,0.591,9,0.5,17,44,61,3,4,2,5,26,35
dampier01,1129469.0,MIA,207.5,,,dampier01,2010-11,MIA,NBA,44,C,51,22,815,52,89,0.584,0,1,0.0,52,88,0.591,24,0.545,53,124,177,22,14,47,32,82,128
jonesja02,1069509.0,MIA,200,10,33,jonesja02,2010-11,MIA,NBA,72,SF,81,8,1549,146,346,0.422,123,287,0.429,23,59,0.39,60,0.833,23,137,160,43,29,19,21,129,475
chalmma01,854389.0,MIA,182.5,5,27,chalmma01,2010-11,MIA,NBA,62,PG,70,28,1579,155,388,0.399,83,231,0.359,72,157,0.459,54,0.871,12,134,146,177,76,7,91,158,447
pittmde01,473604.0,MIA,207.5,3,25,pittmde01,2010-11,MIA,NBA,0,C,2,0,11,1,3,0.333,0,0,0.0,1,3,0.333,0,0.0,1,2,3,0,0,0,2,2,2
stackje01,222712.0,MIA,195,18,39,stackje01,2010-11,MIA,NBA,7,SG,7,1,50,3,12,0.25,1,4,0.25,2,8,0.25,5,0.714,1,6,7,3,0,2,2,3,12
bryanko01,24806250.0,LAL,195,17,35,bryanko01,2010-11,LAL,NBA,583,SG,82,82,2779,740,1639,0.451,115,356,0.323,625,1283,0.487,483,0.828,83,336,419,388,99,12,243,172,2078
gasolpa01,17823000.0,LAL,210,12,33,gasolpa01,2010-11,LAL,NBA,430,C,82,82,3037,593,1120,0.529,1,3,0.333,592,1117,0.53,354,0.823,268,568,836,273,48,130,142,203,1541
bynuman01,13700000.0,LAL,210,7,26,bynuman01,2010-11,LAL,NBA,209,C,54,47,1500,237,413,0.574,0,0,0.0,237,413,0.574,138,0.66,170,338,508,73,19,106,74,140,612
